what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws,1.0.407.v200905191120,"org.eclipse.jst.ws",1289225962916
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1289225962918
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.408.v200911241806,"org.eclipse.wst.ws.explorer",1289225962920
stopped,bundle,org.eclipse.wst.ws.ui,1.1.100.v200903112221,"org.eclipse.wst.ws.ui",1289225962921
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1289225962927
stopped,bundle,org.eclipse.wst.wsi,1.0.305.v200902181431,"org.eclipse.wst.wsi",1289225962929
stopped,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1289225962932
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1289225962933
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1289225962935
stopped,bundle,org.eclipse.wst.ws.parser,1.0.402.v200901220107,"org.eclipse.wst.ws.parser",1289225962936
stopped,bundle,commonj.sdo,2.1.1.v200905221342,"commonj.sdo",1289225962936
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.1.v200906230955,"org.eclipse.datatools.enablement.oda.ws.ui",1289225962937
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.1.v200907300941,"org.eclipse.datatools.enablement.oda.ws",1289225962938
stopped,bundle,org.eclipse.wst.wsdl,1.2.2.v200911111930,"org.eclipse.wst.wsdl",1289225962939
stopped,bundle,org.jboss.tools.jsf.ui,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.ui",1289225962939
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.ajax4jsf",1289225962940
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.facelets",1289225962941
stopped,bundle,org.jboss.tools.jsf.vpe.jstl,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.jstl",1289225962942
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.seam",1289225962943
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jst.web.tiles.ui",1289225962945
stopped,bundle,org.jboss.tools.jst.web.ui,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jst.web.ui",1289225962945
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.jsf",1289225962945
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.myfaces",1289225962946
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.1.0.M2-N200907092133-H355,"org.jboss.tools.jsf.vpe.richfaces",1289225962947
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.M2-N200907092133-H355,"org.jboss.tools.vpe.docbook",1289225962948
